AssignmentStatus	tweetId	num taggers	label	instance	start	end	tweetText
False	'382861569442713600'	1	location modifier	coast of Balochistan	82	102	@PatriciaLMalik The 7.8 magnitude #earthquake in #Pakistan creates island off the coast of Balochistan http://t.co/O6Y6ilAu9o #jetlagged
False	'382861569442713600'	1	location modifier	off the	74	81	@PatriciaLMalik The 7.8 magnitude #earthquake in #Pakistan creates island off the coast of Balochistan http://t.co/O6Y6ilAu9o #jetlagged
False	'382861569442713600'	1	severity or quantity	7.8	20	23	@PatriciaLMalik The 7.8 magnitude #earthquake in #Pakistan creates island off the coast of Balochistan http://t.co/O6Y6ilAu9o #jetlagged
False	'382861569442713600'	1	place name	island	67	73	@PatriciaLMalik The 7.8 magnitude #earthquake in #Pakistan creates island off the coast of Balochistan http://t.co/O6Y6ilAu9o #jetlagged
True	'382861569442713600'	2	place name	Balochistan	91	102	@PatriciaLMalik The 7.8 magnitude #earthquake in #Pakistan creates island off the coast of Balochistan http://t.co/O6Y6ilAu9o #jetlagged
False	'382861569442713600'	1	place name	coast of Balochistan	82	102	@PatriciaLMalik The 7.8 magnitude #earthquake in #Pakistan creates island off the coast of Balochistan http://t.co/O6Y6ilAu9o #jetlagged
True	'382861569442713600'	2	type of impact	creates	59	66	@PatriciaLMalik The 7.8 magnitude #earthquake in #Pakistan creates island off the coast of Balochistan http://t.co/O6Y6ilAu9o #jetlagged
False	'382861569442713600'	2	type of impact	earthquake	35	45	@PatriciaLMalik The 7.8 magnitude #earthquake in #Pakistan creates island off the coast of Balochistan http://t.co/O6Y6ilAu9o #jetlagged
True	'382861569442713600'	2	location modifier	off the coast of	74	90	@PatriciaLMalik The 7.8 magnitude #earthquake in #Pakistan creates island off the coast of Balochistan http://t.co/O6Y6ilAu9o #jetlagged
False	'382861569442713600'	1	item affected	creates island	59	73	@PatriciaLMalik The 7.8 magnitude #earthquake in #Pakistan creates island off the coast of Balochistan http://t.co/O6Y6ilAu9o #jetlagged
True	'382861569442713600'	4	place name	Pakistan	50	58	@PatriciaLMalik The 7.8 magnitude #earthquake in #Pakistan creates island off the coast of Balochistan http://t.co/O6Y6ilAu9o #jetlagged
True	'382861569442713600'	2	item affected	island	67	73	@PatriciaLMalik The 7.8 magnitude #earthquake in #Pakistan creates island off the coast of Balochistan http://t.co/O6Y6ilAu9o #jetlagged
True	'503657407403155456'	2	place name	California	77	87	State of emergency after US quake: A STATE of emergency has been declared in California after a strong quake r... http://t.co/BZJQeZdBmi
True	'503657407403155456'	1	location modifier	in	74	76	State of emergency after US quake: A STATE of emergency has been declared in California after a strong quake r... http://t.co/BZJQeZdBmi
True	'503657407403155456'	1	place name	US	25	27	State of emergency after US quake: A STATE of emergency has been declared in California after a strong quake r... http://t.co/BZJQeZdBmi
False	'503657407403155456'	1	type of impact	quake	28	33	State of emergency after US quake: A STATE of emergency has been declared in California after a strong quake r... http://t.co/BZJQeZdBmi
True	'503657407403155456'	1	item affected	State of emergency	0	18	State of emergency after US quake: A STATE of emergency has been declared in California after a strong quake r... http://t.co/BZJQeZdBmi
True	'383169476029849600'	2	type of impact	injured	51	58	RT @AWAIS_NIAZI1: #KPKUpdates: 2 @ISFPakistan boys injured in firing on replacing #ANP flag wth #Pakistan on clg building. #Saramnaak http:�??
True	'383169476029849600'	3	place name	Pakistan	97	105	RT @AWAIS_NIAZI1: #KPKUpdates: 2 @ISFPakistan boys injured in firing on replacing #ANP flag wth #Pakistan on clg building. #Saramnaak http:�??
False	'383169476029849600'	1	item affected	firing	62	68	RT @AWAIS_NIAZI1: #KPKUpdates: 2 @ISFPakistan boys injured in firing on replacing #ANP flag wth #Pakistan on clg building. #Saramnaak http:�??
True	'383169476029849600'	2	location modifier	on	106	108	RT @AWAIS_NIAZI1: #KPKUpdates: 2 @ISFPakistan boys injured in firing on replacing #ANP flag wth #Pakistan on clg building. #Saramnaak http:�??
True	'383169476029849600'	2	place name	clg building	109	121	RT @AWAIS_NIAZI1: #KPKUpdates: 2 @ISFPakistan boys injured in firing on replacing #ANP flag wth #Pakistan on clg building. #Saramnaak http:�??
True	'383169476029849600'	2	item affected	boys	46	50	RT @AWAIS_NIAZI1: #KPKUpdates: 2 @ISFPakistan boys injured in firing on replacing #ANP flag wth #Pakistan on clg building. #Saramnaak http:�??
False	'383169476029849600'	1	item affected	2	31	32	RT @AWAIS_NIAZI1: #KPKUpdates: 2 @ISFPakistan boys injured in firing on replacing #ANP flag wth #Pakistan on clg building. #Saramnaak http:�??
False	'383169476029849600'	1	item affected	injured	51	58	RT @AWAIS_NIAZI1: #KPKUpdates: 2 @ISFPakistan boys injured in firing on replacing #ANP flag wth #Pakistan on clg building. #Saramnaak http:�??
True	'383169476029849600'	2	severity or quantity	2	31	32	RT @AWAIS_NIAZI1: #KPKUpdates: 2 @ISFPakistan boys injured in firing on replacing #ANP flag wth #Pakistan on clg building. #Saramnaak http:�??
False	'383169476029849600'	1	place name	clg buildin	109	120	RT @AWAIS_NIAZI1: #KPKUpdates: 2 @ISFPakistan boys injured in firing on replacing #ANP flag wth #Pakistan on clg building. #Saramnaak http:�??
True	'383169476029849600'	1	type of impact	firing	62	68	RT @AWAIS_NIAZI1: #KPKUpdates: 2 @ISFPakistan boys injured in firing on replacing #ANP flag wth #Pakistan on clg building. #Saramnaak http:�??
False	'451614301581635584'	1	place name	northern Chile	65	79	( +1 849-846-0679 ) SHAKEN AGAIN  7.6-mag aftershock strikes off northern Chile coast: Massive Chile earthquake ...  (( #Papiiz_Chul?� ))
True	'451614301581635584'	1	place name	northern Chile coast	65	85	( +1 849-846-0679 ) SHAKEN AGAIN  7.6-mag aftershock strikes off northern Chile coast: Massive Chile earthquake ...  (( #Papiiz_Chul?� ))
False	'451614301581635584'	1	type of impact	earthquake 	101	112	( +1 849-846-0679 ) SHAKEN AGAIN  7.6-mag aftershock strikes off northern Chile coast: Massive Chile earthquake ...  (( #Papiiz_Chul?� ))
True	'451614301581635584'	1	location modifier	off	61	64	( +1 849-846-0679 ) SHAKEN AGAIN  7.6-mag aftershock strikes off northern Chile coast: Massive Chile earthquake ...  (( #Papiiz_Chul?� ))
True	'451614301581635584'	1	place name	Chile	95	100	( +1 849-846-0679 ) SHAKEN AGAIN  7.6-mag aftershock strikes off northern Chile coast: Massive Chile earthquake ...  (( #Papiiz_Chul?� ))
False	'451614301581635584'	1	location modifier	off 	61	65	( +1 849-846-0679 ) SHAKEN AGAIN  7.6-mag aftershock strikes off northern Chile coast: Massive Chile earthquake ...  (( #Papiiz_Chul?� ))
False	'451614301581635584'	1	type of impact	aftershock	42	52	( +1 849-846-0679 ) SHAKEN AGAIN  7.6-mag aftershock strikes off northern Chile coast: Massive Chile earthquake ...  (( #Papiiz_Chul?� ))
False	'451614301581635584'	2	severity or quantity	7.6-mag	34	41	( +1 849-846-0679 ) SHAKEN AGAIN  7.6-mag aftershock strikes off northern Chile coast: Massive Chile earthquake ...  (( #Papiiz_Chul?� ))
False	'451614301581635584'	1	place name	Chile coast	74	85	( +1 849-846-0679 ) SHAKEN AGAIN  7.6-mag aftershock strikes off northern Chile coast: Massive Chile earthquake ...  (( #Papiiz_Chul?� ))
False	'451614301581635584'	1	location modifier	northern	65	73	( +1 849-846-0679 ) SHAKEN AGAIN  7.6-mag aftershock strikes off northern Chile coast: Massive Chile earthquake ...  (( #Papiiz_Chul?� ))
False	'451571092658737152'	2	severity or quantity	6.3	19	22	RT @GigiGraciette: 6.3 #earthquake - aftershock off coast of #Chile. Shallow; felt strongly. Reports electricity out in #Iquique http://t.c�??
False	'451571092658737152'	2	type of impact	earthquake	24	34	RT @GigiGraciette: 6.3 #earthquake - aftershock off coast of #Chile. Shallow; felt strongly. Reports electricity out in #Iquique http://t.c�??
True	'451571092658737152'	3	place name	Iquique	121	128	RT @GigiGraciette: 6.3 #earthquake - aftershock off coast of #Chile. Shallow; felt strongly. Reports electricity out in #Iquique http://t.c�??
False	'451571092658737152'	2	item affected	electricity out	101	116	RT @GigiGraciette: 6.3 #earthquake - aftershock off coast of #Chile. Shallow; felt strongly. Reports electricity out in #Iquique http://t.c�??
True	'451571092658737152'	2	item affected	electricity	101	112	RT @GigiGraciette: 6.3 #earthquake - aftershock off coast of #Chile. Shallow; felt strongly. Reports electricity out in #Iquique http://t.c�??
True	'451571092658737152'	3	location modifier	in	117	119	RT @GigiGraciette: 6.3 #earthquake - aftershock off coast of #Chile. Shallow; felt strongly. Reports electricity out in #Iquique http://t.c�??
True	'451571092658737152'	3	place name	Chile	62	67	RT @GigiGraciette: 6.3 #earthquake - aftershock off coast of #Chile. Shallow; felt strongly. Reports electricity out in #Iquique http://t.c�??
True	'451571092658737152'	1	location modifier	off coast of	48	60	RT @GigiGraciette: 6.3 #earthquake - aftershock off coast of #Chile. Shallow; felt strongly. Reports electricity out in #Iquique http://t.c�??
False	'451571092658737152'	1	location modifier	Iquique	121	128	RT @GigiGraciette: 6.3 #earthquake - aftershock off coast of #Chile. Shallow; felt strongly. Reports electricity out in #Iquique http://t.c�??
False	'451571092658737152'	1	place name	coast of #Chile	52	67	RT @GigiGraciette: 6.3 #earthquake - aftershock off coast of #Chile. Shallow; felt strongly. Reports electricity out in #Iquique http://t.c�??
True	'451571092658737152'	1	type of impact	out	113	116	RT @GigiGraciette: 6.3 #earthquake - aftershock off coast of #Chile. Shallow; felt strongly. Reports electricity out in #Iquique http://t.c�??
True	'503861982458441728'	1	location modifier	in	54	56	RT @_iSingh_: �?��?��?��?��?? �??�??�??�?��??!  "Only in California." Skateboarders shred buckled streets in Napa after the #earthquake... http://t.co/mHUGIdXF�??
True	'503861982458441728'	2	place name	California	57	67	RT @_iSingh_: �?��?��?��?��?? �??�??�??�?��??!  "Only in California." Skateboarders shred buckled streets in Napa after the #earthquake... http://t.co/mHUGIdXF�??
False	'503861982458441728'	1	location modifier	in 	54	57	RT @_iSingh_: �?��?��?��?��?? �??�??�??�?��??!  "Only in California." Skateboarders shred buckled streets in Napa after the #earthquake... http://t.co/mHUGIdXF�??
True	'503861982458441728'	2	place name	Napa	109	113	RT @_iSingh_: �?��?��?��?��?? �??�??�??�?��??!  "Only in California." Skateboarders shred buckled streets in Napa after the #earthquake... http://t.co/mHUGIdXF�??
True	'503861982458441728'	1	location modifier	in	106	108	RT @_iSingh_: �?��?��?��?��?? �??�??�??�?��??!  "Only in California." Skateboarders shred buckled streets in Napa after the #earthquake... http://t.co/mHUGIdXF�??
False	'503861982458441728'	1	location modifier	in 	106	109	RT @_iSingh_: �?��?��?��?��?? �??�??�??�?��??!  "Only in California." Skateboarders shred buckled streets in Napa after the #earthquake... http://t.co/mHUGIdXF�??
True	'503861982458441728'	1	type of impact	buckled	90	97	RT @_iSingh_: �?��?��?��?��?? �??�??�??�?��??!  "Only in California." Skateboarders shred buckled streets in Napa after the #earthquake... http://t.co/mHUGIdXF�??
False	'503861982458441728'	1	type of impact	earthquake	125	135	RT @_iSingh_: �?��?��?��?��?? �??�??�??�?��??!  "Only in California." Skateboarders shred buckled streets in Napa after the #earthquake... http://t.co/mHUGIdXF�??
True	'503861982458441728'	1	item affected	streets	98	105	RT @_iSingh_: �?��?��?��?��?? �??�??�??�?��??!  "Only in California." Skateboarders shred buckled streets in Napa after the #earthquake... http://t.co/mHUGIdXF�??
True	'593359014001422336'	3	place name	Nepal	17	22	Tensions Rise in Nepal after �??Weak�?? Response to Deadly?�Quake http://t.co/TzW6qVav82
False	'593359014001422336'	1	type of impact	Quake	60	65	Tensions Rise in Nepal after �??Weak�?? Response to Deadly?�Quake http://t.co/TzW6qVav82
False	'593117866502660099'	1	type of impact	NepalEarthquake	22	37	RT @TestiFra: #Nepal #NepalEarthquake 10.000 vittime
True	'593117866502660099'	1	severity or quantity	10.000	38	44	RT @TestiFra: #Nepal #NepalEarthquake 10.000 vittime
True	'593117866502660099'	2	place name	Nepal	15	20	RT @TestiFra: #Nepal #NepalEarthquake 10.000 vittime
False	'593117866502660099'	1	type of impact	Earthquake	27	37	RT @TestiFra: #Nepal #NepalEarthquake 10.000 vittime
True	'593117866502660099'	2	place name	Nepal	22	27	RT @TestiFra: #Nepal #NepalEarthquake 10.000 vittime
True	'382839308643614720'	2	place name	Pakistan	1	9	#Pakistan earthquake: Hundreds dead in #Balochistan http://t.co/TS7Wa2Vy9g #Nepal Needs To Focus Preventive Measures Before It Is Too Late.
False	'382839308643614720'	1	item affected	dead	31	35	#Pakistan earthquake: Hundreds dead in #Balochistan http://t.co/TS7Wa2Vy9g #Nepal Needs To Focus Preventive Measures Before It Is Too Late.
False	'382839308643614720'	2	type of impact	earthquake	10	20	#Pakistan earthquake: Hundreds dead in #Balochistan http://t.co/TS7Wa2Vy9g #Nepal Needs To Focus Preventive Measures Before It Is Too Late.
True	'382839308643614720'	1	place name	Nepal	76	81	#Pakistan earthquake: Hundreds dead in #Balochistan http://t.co/TS7Wa2Vy9g #Nepal Needs To Focus Preventive Measures Before It Is Too Late.
False	'382839308643614720'	1	location modifier	Balochistan	40	51	#Pakistan earthquake: Hundreds dead in #Balochistan http://t.co/TS7Wa2Vy9g #Nepal Needs To Focus Preventive Measures Before It Is Too Late.
True	'382839308643614720'	3	place name	Balochistan	40	51	#Pakistan earthquake: Hundreds dead in #Balochistan http://t.co/TS7Wa2Vy9g #Nepal Needs To Focus Preventive Measures Before It Is Too Late.
False	'382839308643614720'	1	item affected	Hundreds dead	22	35	#Pakistan earthquake: Hundreds dead in #Balochistan http://t.co/TS7Wa2Vy9g #Nepal Needs To Focus Preventive Measures Before It Is Too Late.
True	'382839308643614720'	3	location modifier	in	36	38	#Pakistan earthquake: Hundreds dead in #Balochistan http://t.co/TS7Wa2Vy9g #Nepal Needs To Focus Preventive Measures Before It Is Too Late.
True	'382839308643614720'	2	type of impact	dead	31	35	#Pakistan earthquake: Hundreds dead in #Balochistan http://t.co/TS7Wa2Vy9g #Nepal Needs To Focus Preventive Measures Before It Is Too Late.
True	'382839308643614720'	3	severity or quantity	Hundreds	22	30	#Pakistan earthquake: Hundreds dead in #Balochistan http://t.co/TS7Wa2Vy9g #Nepal Needs To Focus Preventive Measures Before It Is Too Late.
True	'384064468868542464'	1	place name	Balochistan	14	25	Translation: #Balochistan #Earthquake - Statement of Dr. Allah Nazar, by Gibran Peshimam, https://t.co/4zgLOVctsm
False	'384064468868542464'	1	type of impact	Earthquake	27	37	Translation: #Balochistan #Earthquake - Statement of Dr. Allah Nazar, by Gibran Peshimam, https://t.co/4zgLOVctsm
True	'383372138486325248'	1	item affected	island	8	14	*Pop-up island* emerges after 7.7M #earthquake shook Pakistan http://t.co/Ite4PJZ0rg
True	'383372138486325248'	2	type of impact	emerges	16	23	*Pop-up island* emerges after 7.7M #earthquake shook Pakistan http://t.co/Ite4PJZ0rg
True	'383372138486325248'	4	place name	Pakistan	53	61	*Pop-up island* emerges after 7.7M #earthquake shook Pakistan http://t.co/Ite4PJZ0rg
False	'383372138486325248'	1	place name	Pop-up island	1	14	*Pop-up island* emerges after 7.7M #earthquake shook Pakistan http://t.co/Ite4PJZ0rg
False	'383372138486325248'	2	type of impact	earthquake	36	46	*Pop-up island* emerges after 7.7M #earthquake shook Pakistan http://t.co/Ite4PJZ0rg
False	'383372138486325248'	1	item affected	"Pop-up island" emerges	0	23	*Pop-up island* emerges after 7.7M #earthquake shook Pakistan http://t.co/Ite4PJZ0rg
False	'383372138486325248'	2	severity or quantity	7.7M	30	34	*Pop-up island* emerges after 7.7M #earthquake shook Pakistan http://t.co/Ite4PJZ0rg
True	'451759880215355392'	1	item affected	perro	48	53	Terremoto en Chile: El conmovedor rescate de un perro que conmueve a las redes sociales http://t.co/QGKnZigH2i v??a @Guioteca
True	'451759880215355392'	1	type of impact	o	8	9	Terremoto en Chile: El conmovedor rescate de un perro que conmueve a las redes sociales http://t.co/QGKnZigH2i v??a @Guioteca
True	'451759880215355392'	1	type of impact	Terremot	0	8	Terremoto en Chile: El conmovedor rescate de un perro que conmueve a las redes sociales http://t.co/QGKnZigH2i v??a @Guioteca
True	'451759880215355392'	3	place name	Chile	13	18	Terremoto en Chile: El conmovedor rescate de un perro que conmueve a las redes sociales http://t.co/QGKnZigH2i v??a @Guioteca
False	'504107025266012160'	1	type of impact	earthquake	5	15	Napa earthquake as mapped by social media posts - CNET: Napa earthquake as mapped by social ... http://t.co/BlH9CH5xq5 #SMM #SocialMedia
True	'504107025266012160'	2	place name	Napa	0	4	Napa earthquake as mapped by social media posts - CNET: Napa earthquake as mapped by social ... http://t.co/BlH9CH5xq5 #SMM #SocialMedia
True	'504107025266012160'	1	place name	Napa	56	60	Napa earthquake as mapped by social media posts - CNET: Napa earthquake as mapped by social ... http://t.co/BlH9CH5xq5 #SMM #SocialMedia
True	'382981221912809472'	2	place name	Nevada	26	32	??�#USGS #alert??? M 1.8, Nevada: September 25, 2013 21:20:43 GMT http://t.co/tgZdmiwWQH #earthquake #tsunami #prayfromjapan
False	'382981221912809472'	2	type of impact	earthquake	90	100	??�#USGS #alert??? M 1.8, Nevada: September 25, 2013 21:20:43 GMT http://t.co/tgZdmiwWQH #earthquake #tsunami #prayfromjapan
True	'382981221912809472'	1	type of impact	tsunami	102	109	??�#USGS #alert??? M 1.8, Nevada: September 25, 2013 21:20:43 GMT http://t.co/tgZdmiwWQH #earthquake #tsunami #prayfromjapan
False	'382981221912809472'	1	severity or quantity	M 1.8	19	24	??�#USGS #alert??? M 1.8, Nevada: September 25, 2013 21:20:43 GMT http://t.co/tgZdmiwWQH #earthquake #tsunami #prayfromjapan
False	'382981221912809472'	1	severity or quantity	1.8	21	24	??�#USGS #alert??? M 1.8, Nevada: September 25, 2013 21:20:43 GMT http://t.co/tgZdmiwWQH #earthquake #tsunami #prayfromjapan
True	'451925759226298368'	1	place name	America	101	108	@IridescentSol a earthquake in Chile then one in close to Panama. Its like its working its way up to America , its scary forreal.
True	'451925759226298368'	3	place name	Chile	31	36	@IridescentSol a earthquake in Chile then one in close to Panama. Its like its working its way up to America , its scary forreal.
True	'451925759226298368'	2	place name	Panama	58	64	@IridescentSol a earthquake in Chile then one in close to Panama. Its like its working its way up to America , its scary forreal.
False	'451925759226298368'	2	type of impact	earthquake	17	27	@IridescentSol a earthquake in Chile then one in close to Panama. Its like its working its way up to America , its scary forreal.
False	'451925759226298368'	1	place name	close to Panama	49	64	@IridescentSol a earthquake in Chile then one in close to Panama. Its like its working its way up to America , its scary forreal.
True	'451925759226298368'	1	location modifier	in	28	30	@IridescentSol a earthquake in Chile then one in close to Panama. Its like its working its way up to America , its scary forreal.
True	'451398305000734720'	3	place name	LA	0	2	LA, Chile, Panama...who's next?! #earthquake
True	'451398305000734720'	3	place name	Panama	11	17	LA, Chile, Panama...who's next?! #earthquake
True	'451398305000734720'	3	place name	Chile	4	9	LA, Chile, Panama...who's next?! #earthquake
False	'451398305000734720'	2	type of impact	earthquake	34	44	LA, Chile, Panama...who's next?! #earthquake
True	'593143822458064896'	2	place name	Nepal	51	56	RT @RakeshSinha01: Missionaries disgusting role in Nepal is pouring,very sad,di is hour to rise above al sectarian feelings&amp;categories.hope�??
True	'593143822458064896'	1	location modifier	in	48	50	RT @RakeshSinha01: Missionaries disgusting role in Nepal is pouring,very sad,di is hour to rise above al sectarian feelings&amp;categories.hope�??
False	'451598043750481921'	1	severity or quantity	47km	16	20	6.4 earthquake, 47km W of Iquique, Chile. Apr 2 20:58 at epicenter (20m ago, depth 10km). http://t.co/RB3vMDWqHw
False	'451598043750481921'	1	location modifier	of 	23	26	6.4 earthquake, 47km W of Iquique, Chile. Apr 2 20:58 at epicenter (20m ago, depth 10km). http://t.co/RB3vMDWqHw
False	'451598043750481921'	1	place name	Iquique,	26	34	6.4 earthquake, 47km W of Iquique, Chile. Apr 2 20:58 at epicenter (20m ago, depth 10km). http://t.co/RB3vMDWqHw
True	'451598043750481921'	1	place name	Iquique, Chile	26	40	6.4 earthquake, 47km W of Iquique, Chile. Apr 2 20:58 at epicenter (20m ago, depth 10km). http://t.co/RB3vMDWqHw
False	'451598043750481921'	1	location modifier	47km W of Iquique	16	33	6.4 earthquake, 47km W of Iquique, Chile. Apr 2 20:58 at epicenter (20m ago, depth 10km). http://t.co/RB3vMDWqHw
False	'451598043750481921'	2	type of impact	earthquake	4	14	6.4 earthquake, 47km W of Iquique, Chile. Apr 2 20:58 at epicenter (20m ago, depth 10km). http://t.co/RB3vMDWqHw
False	'451598043750481921'	2	place name	Chile	35	40	6.4 earthquake, 47km W of Iquique, Chile. Apr 2 20:58 at epicenter (20m ago, depth 10km). http://t.co/RB3vMDWqHw
False	'451598043750481921'	1	severity or quantity	6.4	0	3	6.4 earthquake, 47km W of Iquique, Chile. Apr 2 20:58 at epicenter (20m ago, depth 10km). http://t.co/RB3vMDWqHw
True	'451598043750481921'	1	location modifier	47km W of	16	25	6.4 earthquake, 47km W of Iquique, Chile. Apr 2 20:58 at epicenter (20m ago, depth 10km). http://t.co/RB3vMDWqHw
False	'451598043750481921'	1	severity or quantity	6.4 	0	4	6.4 earthquake, 47km W of Iquique, Chile. Apr 2 20:58 at epicenter (20m ago, depth 10km). http://t.co/RB3vMDWqHw
True	'451327695897772032'	1	place name	Chile	60	65	RT @crhoycom: Ya suman seis los muertos por el terremoto en Chile - http://t.co/cIfVIE2pqC
True	'504305858483060736'	2	place name	Napa	0	4	Napa earthquake hits home. The showroom was untouched but Dave's house in the hills above Napa didn't do so well.... http://t.co/xGkTRQQ8W4
True	'504305858483060736'	3	item affected	Dave's house	58	70	Napa earthquake hits home. The showroom was untouched but Dave's house in the hills above Napa didn't do so well.... http://t.co/xGkTRQQ8W4
False	'504305858483060736'	1	type of impact	Napa earthquake	0	15	Napa earthquake hits home. The showroom was untouched but Dave's house in the hills above Napa didn't do so well.... http://t.co/xGkTRQQ8W4
True	'504305858483060736'	2	location modifier	in the hills above	71	89	Napa earthquake hits home. The showroom was untouched but Dave's house in the hills above Napa didn't do so well.... http://t.co/xGkTRQQ8W4
True	'504305858483060736'	1	type of impact	hits	16	20	Napa earthquake hits home. The showroom was untouched but Dave's house in the hills above Napa didn't do so well.... http://t.co/xGkTRQQ8W4
True	'504305858483060736'	1	item affected	home	21	25	Napa earthquake hits home. The showroom was untouched but Dave's house in the hills above Napa didn't do so well.... http://t.co/xGkTRQQ8W4
True	'504305858483060736'	1	type of impact	didn't do so well	95	112	Napa earthquake hits home. The showroom was untouched but Dave's house in the hills above Napa didn't do so well.... http://t.co/xGkTRQQ8W4
False	'504305858483060736'	1	type of impact	earthquake	5	15	Napa earthquake hits home. The showroom was untouched but Dave's house in the hills above Napa didn't do so well.... http://t.co/xGkTRQQ8W4
True	'504305858483060736'	2	place name	Napa	90	94	Napa earthquake hits home. The showroom was untouched but Dave's house in the hills above Napa didn't do so well.... http://t.co/xGkTRQQ8W4
False	'504305858483060736'	1	item affected	house	65	70	Napa earthquake hits home. The showroom was untouched but Dave's house in the hills above Napa didn't do so well.... http://t.co/xGkTRQQ8W4
True	'503667477394751488'	3	place name	California	35	45	�??@bgittleson: This photo is very California. #napa #earthquake http://t.co/sQOCnPtr6y�?� crazy!
False	'503667477394751488'	2	type of impact	earthquake	54	64	�??@bgittleson: This photo is very California. #napa #earthquake http://t.co/sQOCnPtr6y�?� crazy!
True	'503667477394751488'	1	place name	napa	48	52	�??@bgittleson: This photo is very California. #napa #earthquake http://t.co/sQOCnPtr6y�?� crazy!
True	'384256853862932480'	2	place name	Pakistan	37	45	New major earthquake rocks southwest Pakistan #Pakistan http://t.co/A5lovVlJfI
True	'384256853862932480'	2	location modifier	southwest	27	36	New major earthquake rocks southwest Pakistan #Pakistan http://t.co/A5lovVlJfI
False	'384256853862932480'	2	type of impact	earthquake	10	20	New major earthquake rocks southwest Pakistan #Pakistan http://t.co/A5lovVlJfI
False	'384256853862932480'	1	place name	southwest Pakistan	27	45	New major earthquake rocks southwest Pakistan #Pakistan http://t.co/A5lovVlJfI
True	'593092534932504576'	2	place name	Nepal	27	32	RT @orbitlawpllc: TPS for #Nepal introduced in US Congress today...stay tuned for updates!
True	'383111645859311616'	3	item affected	Indian Soldiers	5	20	Five Indian Soldiers and Six Policemen dead in Indian occupied Kashmir. #Pakistan http://t.co/es7W944i9S
False	'383111645859311616'	1	location modifier	Kashmir	63	70	Five Indian Soldiers and Six Policemen dead in Indian occupied Kashmir. #Pakistan http://t.co/es7W944i9S
True	'383111645859311616'	3	severity or quantity	Five	0	4	Five Indian Soldiers and Six Policemen dead in Indian occupied Kashmir. #Pakistan http://t.co/es7W944i9S
True	'383111645859311616'	2	location modifier	in	44	46	Five Indian Soldiers and Six Policemen dead in Indian occupied Kashmir. #Pakistan http://t.co/es7W944i9S
True	'383111645859311616'	1	type of impact	occupied	54	62	Five Indian Soldiers and Six Policemen dead in Indian occupied Kashmir. #Pakistan http://t.co/es7W944i9S
